#,"",distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
33,32,0.869792,77,29,8.5,0,10.0,53,3.0,29.77,0
34,33,0.635417,77,29,8.5,0,10.0,70,7.0,29.76,0
35,34,0.401042,77,29,8.5,0,10.0,61,0.0,29.80,4804
36,35,0.166667,77,29,8.5,0,10.0,64,3.0,29.82,23551
37,36,0.067708,77,29,8.5,0,10.0,49,5.0,29.78,27963
38,37,0.302083,77,29,8.5,0,10.0,37,22.0,29.75,14980
39,38,0.536458,77,29,8.5,0,10.0,51,15.0,29.76,423
40,39,0.770833,77,29,8.5,0,10.0,37,8.0,29.79,0
41,40,0.870926,75,30,8.6,1,10.0,57,6.0,29.78,0
42,41,0.636245,75,30,8.6,1,10.0,73,3.0,29.78,0
43,42,0.401565,75,30,8.6,1,10.0,52,3.0,29.81,4562
44,43,0.166884,75,30,8.6,1,10.0,66,3.0,29.82,22761
45,44,0.067797,75,30,8.6,0,10.0,37,16.0,29.79,28193
46,45,0.302477,75,30,8.6,0,10.0,39,18.0,29.75,14835
47,46,0.537158,75,30,8.6,0,10.0,57,14.0,29.74,375
48,47,0.771838,75,30,8.6,0,10.0,65,8.0,29.76,0
49,48,0.873037,62,29,14.9,1,10.0,81,8.0,29.76,0
50,49,0.637435,62,29,14.9,1,10.0,87,7.0,29.74,0
51,50,0.401832,62,29,14.9,1,10.0,84,8.0,29.76,2963
52,51,0.166230,62,29,14.9,1,10.0,68,14.0,29.77,24553
53,52,0.069372,62,29,14.9,1,10.0,61,22.0,29.73,29986
54,53,0.304974,62,29,14.9,1,10.0,70,25.0,29.71,15403
55,54,0.540576,62,29,14.9,1,10.0,87,22.0,29.73,379
56,55,0.776178,62,29,14.9,1,10.0,90,13.0,29.75,0
57,56,0.875328,64,31,5.8,3,10.0,90,7.0,29.76,0
58,57,0.639108,64,31,5.8,4,10.0,87,5.0,29.75,0
59,58,0.402887,64,31,5.8,4,9.0,87,0.0,29.77,249
60,59,0.166667,64,31,5.8,1,9.0,73,5.0,29.78,9910
61,60,0.069554,64,31,5.8,1,10.0,59,10.0,29.75,28515
62,61,0.305774,64,31,5.8,1,10.0,61,14.0,29.70,17490
63,62,0.541995,64,31,5.8,1,10.0,73,6.0,29.72,773
64,63,0.778215,64,31,5.8,1,10.0,87,6.0,29.75,0
65,64,0.878788,63,21,10.5,3,10.0,84,7.0,29.76,0
66,65,0.641634,63,21,10.5,3,10.0,78,7.0,29.75,0
67,66,0.404480,63,21,10.5,4,10.0,81,8.0,29.78,65
68,67,0.167325,63,21,10.5,4,10.0,73,5.0,29.80,5219
69,68,0.069829,63,21,10.5,1,10.0,63,15.0,29.76,10789
70,69,0.306983,63,21,10.5,1,10.0,68,20.0,29.74,5208
71,70,0.544137,63,21,10.5,1,10.0,78,7.0,29.74,60
72,71,0.781291,63,21,10.5,3,10.0,81,13.0,29.76,0
73,72,0.880952,64,28,9.7,3,10.0,81,7.0,29.76,0
74,73,0.642857,64,28,9.7,4,10.0,81,7.0,29.77,0
75,74,0.404762,64,28,9.7,4,10.0,78,7.0,29.80,1346
76,75,0.166667,64,28,9.7,3,10.0,68,3.0,29.84,18380
77,76,0.071429,64,28,9.7,1,10.0,59,16.0,29.81,28891
78,77,0.309524,64,28,9.7,1,10.0,63,18.0,29.80,14687
79,78,0.547619,64,28,9.7,1,10.0,81,15.0,29.82,345
80,79,0.785714,64,28,9.7,1,10.0,84,8.0,29.85,0
81,80,0.883289,61,29,11.4,2,10.0,87,10.0,29.85,0
82,81,0.644562,61,29,11.4,4,10.0,87,3.0,29.85,0
83,82,0.405836,61,29,11.4,4,8.0,84,3.0,29.87,292
84,83,0.167109,61,29,11.4,2,10.0,73,3.0,29.87,10767
85,84,0.071618,61,29,11.4,1,10.0,68,21.0,29.84,27641
86,85,0.310345,61,29,11.4,1,10.0,75,23.0,29.81,13835
87,86,0.549072,61,29,11.4,1,10.0,87,18.0,29.83,145
88,87,0.787798,61,29,11.4,1,10.0,87,10.0,29.86,0
89,88,0.886818,60,28,11.7,3,10.0,90,13.0,29.87,0
90,89,0.647137,60,28,11.7,3,10.0,83,8.0,29.87,0
91,90,0.407457,60,28,11.7,4,10.0,86,5.0,29.90,229
92,91,0.167776,60,28,11.7,4,9.0,81,7.0,29.93,4349
93,92,0.071904,60,28,11.7,1,10.0,68,16.0,29.88,19126
94,93,0.311585,60,28,11.7,1,10.0,73,21.0,29.85,14692
95,94,0.551265,60,28,11.7,3,10.0,80,13.0,29.88,436
96,95,0.790945,60,28,11.7,3,10.0,86,9.0,29.90,0
97,96,0.886667,61,29,9.0,3,10.0,80,8.0,29.90,0
98,97,0.646667,61,29,9.0,4,10.0,80,6.0,29.87,0
99,98,0.406667,61,29,9.0,4,10.0,83,5.0,29.90,408
100,99,0.166667,61,29,9.0,4,10.0,72,3.0,29.93,11376
101,100,0.073333,61,29,9.0,2,10.0,61,16.0,29.89,28611
102,101,0.313333,61,29,9.0,2,10.0,65,17.0,29.86,14587
103,102,0.553333,61,29,9.0,1,10.0,81,14.0,29.89,239
104,103,0.793333,61,29,9.0,1,10.0,83,7.0,29.93,0
105,104,0.890228,62,29,10.1,4,10.0,83,5.0,29.94,0
106,105,0.649264,62,29,10.1,4,10.0,87,3.0,29.94,0
107,106,0.408300,62,29,10.1,4,10.0,84,5.0,29.97,250
108,107,0.167336,62,29,10.1,3,9.0,73,7.0,30.00,15149
109,108,0.073628,62,29,10.1,1,10.0,63,15.0,29.96,28581
110,109,0.314592,62,29,10.1,1,10.0,68,21.0,29.94,13787
111,110,0.555556,62,29,10.1,1,10.0,78,18.0,29.97,218
112,111,0.796519,62,29,10.1,1,10.0,83,13.0,29.99,0
113,112,0.892617,60,28,12.6,3,10.0,86,9.0,29.99,0
114,113,0.651007,60,28,12.6,4,10.0,87,7.0,29.97,0
115,114,0.409396,60,28,12.6,4,7.0,90,7.0,30.01,413
116,115,0.167785,60,28,12.6,3,7.0,78,5.0,30.01,17412
117,116,0.073826,60,28,12.6,1,10.0,63,16.0,29.95,28239
118,117,0.315436,60,28,12.6,1,10.0,70,22.0,29.92,13397
119,118,0.557047,60,28,12.6,1,10.0,83,18.0,29.94,193
120,119,0.798658,60,28,12.6,1,10.0,90,13.0,29.96,0
121,120,0.894879,59,28,12.7,2,10.0,90,11.0,29.97,0
122,121,0.652291,59,28,12.7,3,10.0,83,9.0,29.96,0
123,122,0.409704,59,28,12.7,4,9.0,83,9.0,29.97,685
124,123,0.167116,59,28,12.7,3,10.0,72,7.0,29.98,16170
125,124,0.075472,59,28,12.7,1,10.0,63,21.0,29.94,28148
126,125,0.318059,59,28,12.7,2,10.0,67,20.0,29.92,13455
127,126,0.560647,59,28,12.7,1,10.0,80,14.0,29.95,198
128,127,0.803235,59,28,12.7,2,10.0,78,11.0,29.99,0
129,128,0.897297,62,24,9.6,4,10.0,75,10.0,30.00,0
130,129,0.654054,62,24,9.6,4,10.0,72,7.0,29.99,0
131,130,0.410811,62,24,9.6,4,10.0,70,3.0,30.03,332
132,131,0.167568,62,24,9.6,4,10.0,63,10.0,30.07,5866
133,132,0.075676,62,24,9.6,2,10.0,52,10.0,30.04,22094
134,133,0.318919,62,24,9.6,0,10.0,54,17.0,30.01,13893
135,134,0.562162,62,24,9.6,0,10.0,70,9.0,30.00,154
136,135,0.805405,62,24,9.6,0,10.0,72,6.0,30.01,0
137,136,0.900950,60,26,7.9,1,10.0,78,6.0,30.01,0
138,137,0.656716,60,26,7.9,1,10.0,86,0.0,29.99,0
139,138,0.412483,60,26,7.9,1,10.0,83,0.0,30.02,4342
140,139,0.168250,60,26,7.9,1,10.0,56,10.0,30.05,24175
141,140,0.075984,60,26,7.9,0,10.0,49,15.0,30.02,29378
142,141,0.320217,60,26,7.9,0,10.0,51,15.0,29.98,13686
143,142,0.564450,60,26,7.9,1,10.0,65,8.0,29.96,112
144,143,0.808684,60,26,7.9,0,10.0,67,6.0,29.98,0
145,144,0.902041,63,21,7.3,1,10.0,78,3.0,29.99,0
146,145,0.657143,63,21,7.3,1,10.0,80,5.0,29.98,0
147,146,0.412245,63,21,7.3,1,10.0,80,3.0,29.99,4232
148,147,0.167347,63,21,7.3,1,10.0,63,9.0,30.00,22783
149,148,0.077551,63,21,7.3,3,10.0,61,9.0,29.98,24479
150,149,0.322449,63,21,7.3,4,10.0,63,10.0,29.97,1628
151,150,0.567347,63,21,7.3,4,10.0,81,11.0,29.98,0
152,151,0.812245,63,21,7.3,3,10.0,81,6.0,29.99,0
153,152,0.904502,65,28,10.3,4,10.0,87,8.0,30.01,0
154,153,0.658936,65,28,10.3,4,10.0,90,8.0,30.01,0
155,154,0.413370,65,28,10.3,4,10.0,84,6.0,30.03,650
156,155,0.167804,65,28,10.3,4,10.0,70,9.0,30.05,9141
157,156,0.077763,65,28,10.3,2,10.0,63,11.0,30.03,25527
158,157,0.323329,65,28,10.3,3,10.0,75,15.0,30.01,12847
159,158,0.568895,65,28,10.3,4,10.0,87,14.0,30.00,122
160,159,0.814461,65,28,10.3,3,10.0,87,15.0,30.00,0
161,160,0.906849,63,27,14.4,3,10.0,87,8.0,29.97,0
162,161,0.660274,63,27,14.4,3,10.0,81,13.0,29.96,0
163,162,0.413699,63,27,14.4,4,10.0,84,8.0,29.98,997
164,163,0.167123,63,27,14.4,2,10.0,70,10.0,29.99,12786
165,164,0.079452,63,27,14.4,2,10.0,65,20.0,29.97,28277
166,165,0.326027,63,27,14.4,2,10.0,70,24.0,29.96,12816
167,166,0.572603,63,27,14.4,1,10.0,78,16.0,29.94,81
168,167,0.819178,63,27,14.4,1,10.0,84,11.0,29.96,0
169,168,0.909341,66,29,7.3,1,10.0,87,0.0,29.96,0
170,169,0.662088,66,29,7.3,0,10.0,86,3.0,29.95,0
171,170,0.414835,66,29,7.3,1,10.0,81,0.0,30.00,4026
172,171,0.167582,66,29,7.3,1,10.0,70,5.0,30.02,23081
173,172,0.079670,66,29,7.3,1,10.0,37,16.0,29.99,27284
174,173,0.326923,66,29,7.3,0,10.0,48,17.0,29.96,12287
175,174,0.574176,66,29,7.3,1,10.0,70,16.0,29.95,79
176,175,0.821429,66,29,7.3,0,10.0,78,8.0,29.97,0
177,176,0.913103,69,29,8.7,0,10.0,81,6.0,29.97,0
178,177,0.664828,69,29,8.7,0,10.0,75,3.0,29.96,0
179,178,0.416552,69,29,8.7,1,9.0,84,3.0,29.98,3974
180,179,0.168276,69,29,8.7,0,9.0,73,5.0,29.99,23119
181,180,0.080000,69,29,8.7,0,10.0,66,6.0,29.94,26858
182,181,0.328276,69,29,8.7,0,10.0,37,21.0,29.90,12109
183,182,0.576552,69,29,8.7,0,10.0,56,18.0,29.91,65
184,183,0.824828,69,29,8.7,0,10.0,75,11.0,29.94,0
185,184,0.914246,66,29,10.1,0,10.0,84,3.0,29.94,0
186,185,0.665284,66,29,10.1,0,10.0,90,5.0,29.92,0
187,186,0.416321,66,29,10.1,1,9.0,90,5.0,29.94,3749
188,187,0.167358,66,29,10.1,1,10.0,66,3.0,29.95,22695
189,188,0.081604,66,29,10.1,1,10.0,51,13.0,29.92,27114
190,189,0.330567,66,29,10.1,1,10.0,49,16.0,29.89,12017
191,190,0.579530,66,29,10.1,1,10.0,56,16.0,29.89,59
192,191,0.828492,66,29,10.1,0,10.0,62,11.0,29.92,0
193,192,0.918056,67,29,9.3,0,10.0,67,3.0,29.91,0
194,193,0.668056,67,29,9.3,0,10.0,80,6.0,29.90,0
195,194,0.418056,67,29,9.3,2,10.0,70,0.0,29.93,3894
196,195,0.168056,67,29,9.3,2,10.0,63,7.0,29.95,23066
197,196,0.081944,67,29,9.3,2,10.0,47,15.0,29.91,27072
198,197,0.331944,67,29,9.3,2,10.0,57,21.0,29.88,11864
199,198,0.581944,67,29,9.3,1,10.0,70,11.0,29.89,51
200,199,0.831944,67,29,9.3,0,10.0,81,8.0,29.91,0
201,200,0.919332,66,29,10.7,0,10.0,81,6.0,29.91,0
202,201,0.668985,66,29,10.7,0,9.0,87,7.0,29.90,0
203,202,0.418637,66,29,10.7,2,9.0,84,6.0,29.93,3661
204,203,0.168289,66,29,10.7,1,10.0,68,6.0,29.95,22534
205,204,0.082058,66,29,10.7,1,10.0,50,13.0,29.91,26744
206,205,0.332406,66,29,10.7,1,10.0,68,18.0,29.90,11627
207,206,0.582754,66,29,10.7,1,10.0,90,15.0,29.92,43
208,207,0.833102,66,29,10.7,1,10.0,90,10.0,29.94,0
209,208,0.921788,66,29,9.1,1,10.0,90,10.0,29.95,0
210,209,0.670391,66,29,9.1,1,10.0,93,3.0,29.93,0
211,210,0.418994,66,29,9.1,1,10.0,93,6.0,29.95,3615
212,211,0.167598,66,29,9.1,0,10.0,73,3.0,29.95,22037
213,212,0.083799,66,29,9.1,1,10.0,56,6.0,29.90,26026
214,213,0.335196,66,29,9.1,1,10.0,59,20.0,29.85,1728
215,214,0.586592,66,29,9.1,0,10.0,73,15.0,29.89,0
216,215,0.837989,66,29,9.1,1,10.0,81,5.0,29.92,0
217,216,0.925666,61,30,12.3,1,10.0,90,13.0,29.92,0
218,217,0.673212,61,30,12.3,1,10.0,93,8.0,29.91,0
219,218,0.420757,61,30,12.3,1,10.0,93,8.0,29.94,2406
220,219,0.168303,61,30,12.3,1,10.0,65,9.0,29.94,22113
221,220,0.084151,61,30,12.3,1,10.0,63,20.0,29.90,26823
222,221,0.336606,61,30,12.3,1,10.0,70,21.0,29.89,10798
223,222,0.589060,61,30,12.3,1,10.0,87,11.0,29.93,0
224,223,0.841515,61,30,12.3,2,10.0,90,11.0,29.96,0
225,224,0.928270,62,28,8.4,4,10.0,90,8.0,29.97,0
226,225,0.675105,62,28,8.4,4,10.0,87,6.0,29.96,0
227,226,0.421941,62,28,8.4,4,10.0,87,6.0,29.96,373
228,227,0.168776,62,28,8.4,3,10.0,75,5.0,29.98,13921
229,228,0.084388,62,28,8.4,2,10.0,63,15.0,29.94,26393
230,229,0.337553,62,28,8.4,2,10.0,68,15.0,29.95,11093
231,230,0.590717,62,28,8.4,2,10.0,75,11.0,29.96,47
232,231,0.843882,62,28,8.4,0,10.0,81,8.0,29.97,0
233,232,0.930791,65,29,6.9,0,10.0,81,5.0,29.98,0
234,233,0.676554,65,29,6.9,1,10.0,87,5.0,29.99,0
235,234,0.422316,65,29,6.9,2,10.0,83,0.0,30.04,3110
236,235,0.168079,65,29,6.9,2,10.0,70,3.0,30.05,21023
237,236,0.086158,65,29,6.9,2,10.0,50,9.0,30.01,25702
238,237,0.340395,65,29,6.9,2,10.0,53,18.0,29.97,10972
239,238,0.594633,65,29,6.9,1,10.0,68,15.0,29.99,0
240,239,0.848870,65,29,6.9,1,10.0,67,0.0,30.01,0
241,240,0.933428,66,29,7.8,1,10.0,67,0.0,30.00,0
242,241,0.678470,66,29,7.8,1,10.0,78,5.0,29.99,0
243,242,0.423513,66,29,7.8,2,10.0,75,0.0,29.98,3715
244,243,0.168555,66,29,7.8,3,10.0,71,3.0,29.98,18312
245,244,0.086402,66,29,7.8,3,10.0,50,22.0,29.95,19583
246,245,0.341360,66,29,7.8,3,10.0,59,16.0,29.92,6135
247,246,0.596317,66,29,7.8,3,10.0,81,8.0,29.96,178
248,247,0.851275,66,29,7.8,3,10.0,84,9.0,29.95,0
249,248,0.937411,67,27,9.5,3,10.0,84,10.0,29.94,0
250,249,0.681366,67,27,9.5,4,10.0,87,6.0,29.92,0
251,250,0.425320,67,27,9.5,4,10.0,81,0.0,29.96,53
252,251,0.169275,67,27,9.5,3,10.0,73,6.0,29.98,7496
253,252,0.086771,67,27,9.5,3,10.0,62,17.0,29.97,19260
254,253,0.342817,67,27,9.5,3,10.0,76,9.0,29.92,4961
255,254,0.598862,67,27,9.5,3,10.0,87,13.0,29.91,0
256,255,0.854908,67,27,9.5,2,10.0,90,16.0,29.92,0
257,256,0.940086,65,19,8.5,4,10.0,90,7.0,29.91,0
258,257,0.683310,65,19,8.5,3,10.0,87,8.0,29.86,0
259,258,0.426534,65,19,8.5,3,10.0,84,5.0,29.87,1093
260,259,0.169757,65,19,8.5,3,10.0,73,3.0,29.87,11844
261,260,0.087019,65,19,8.5,3,10.0,63,0.0,29.83,11357
262,261,0.343795,65,19,8.5,4,10.0,65,9.0,29.77,3375
263,262,0.600571,65,19,8.5,4,10.0,70,14.0,29.76,0
264,263,0.857347,65,19,8.5,4,3.0,90,13.0,29.75,0
265,264,0.941345,64,26,14.4,4,9.0,93,15.0,29.73,0
266,265,0.683834,64,26,14.4,4,7.0,90,17.0,29.75,0
267,266,0.426323,64,26,14.4,4,8.0,90,8.0,29.79,1653
268,267,0.168813,64,26,14.4,3,10.0,81,13.0,29.84,5957
269,268,0.088698,64,26,14.4,2,10.0,66,16.0,29.86,21177
270,269,0.346209,64,26,14.4,2,10.0,70,15.0,29.88,9729
271,270,0.603720,64,26,14.4,1,10.0,81,14.0,29.91,0
272,271,0.861230,64,26,14.4,2,10.0,84,18.0,29.95,0
273,272,0.944046,65,28,11.1,1,10.0,81,15.0,29.96,0
274,273,0.685796,65,28,11.1,1,10.0,84,10.0,29.96,0
275,274,0.427547,65,28,11.1,2,10.0,81,8.0,29.99,2198
276,275,0.169297,65,28,11.1,3,10.0,57,7.0,30.01,20493
277,276,0.088953,65,28,11.1,3,10.0,55,15.0,30.00,18931
278,277,0.347202,65,28,11.1,3,10.0,61,11.0,29.99,11566
279,278,0.605452,65,28,11.1,1,10.0,81,15.0,30.01,0
280,279,0.863702,65,28,11.1,2,10.0,87,14.0,30.03,0
281,280,0.948127,66,28,10.5,4,10.0,93,7.0,30.04,0
282,281,0.688761,66,28,10.5,4,10.0,90,0.0,30.05,0
283,282,0.429395,66,28,10.5,4,9.0,84,5.0,30.07,532
284,283,0.170029,66,28,10.5,1,9.0,73,5.0,30.10,22044
285,284,0.089337,66,28,10.5,0,10.0,59,3.0,30.05,27732
286,285,0.348703,66,28,10.5,1,10.0,70,22.0,30.05,11398
287,286,0.608069,66,28,10.5,1,10.0,93,22.0,30.07,0
288,287,0.867435,66,28,10.5,3,10.0,93,21.0,30.10,0
289,288,0.949422,65,28,10.2,2,10.0,93,14.0,30.12,0
290,289,0.689306,65,28,10.2,1,10.0,96,7.0,30.12,0
291,290,0.429191,65,28,10.2,3,10.0,96,0.0,30.16,0
292,291,0.169075,65,28,10.2,2,7.0,81,3.0,30.17,15458
293,292,0.091040,65,28,10.2,0,9.0,71,3.0,30.11,27357
294,293,0.351156,65,28,10.2,0,10.0,55,22.0,30.07,10975
295,294,0.611272,65,28,10.2,0,10.0,73,16.0,30.06,0
296,295,0.871387,65,28,10.2,0,10.0,81,11.0,30.05,0
297,296,0.953556,66,27,12.6,0,10.0,84,7.0,30.03,0
298,297,0.692308,66,27,12.6,1,10.0,83,0.0,30.01,0
299,298,0.431060,66,27,12.6,0,9.0,90,3.0,30.02,3816
300,299,0.169811,66,27,12.6,0,9.0,76,3.0,30.01,23843
301,300,0.091437,66,27,12.6,0,10.0,55,24.0,29.95,27645
302,301,0.352685,66,27,12.6,1,10.0,61,25.0,29.92,11063
303,302,0.613933,66,27,12.6,0,10.0,72,9.0,29.90,0
304,303,0.875181,66,27,12.6,0,10.0,78,23.0,29.91,0
305,304,0.956332,62,27,14.6,0,10.0,83,15.0,29.91,0
306,305,0.694323,62,27,14.6,0,10.0,80,13.0,29.92,0
307,306,0.432314,62,27,14.6,1,10.0,75,9.0,29.96,3837
308,307,0.170306,62,27,14.6,0,10.0,47,5.0,30.00,24973
309,308,0.091703,62,27,14.6,0,10.0,37,16.0,29.97,28183
310,309,0.353712,62,27,14.6,0,10.0,50,26.0,29.94,10894
311,310,0.615721,62,27,14.6,0,10.0,67,20.0,29.95,0
312,311,0.877729,62,27,14.6,0,10.0,67,11.0,29.97,0
313,312,0.959124,57,29,17.6,0,10.0,69,16.0,29.98,0
314,313,0.696350,57,29,17.6,0,10.0,69,11.0,29.98,0
315,314,0.433577,57,29,17.6,1,10.0,59,13.0,29.99,3755
316,315,0.170803,57,29,17.6,1,10.0,42,17.0,30.00,25334
317,316,0.091971,57,29,17.6,1,10.0,46,26.0,29.94,29016
318,317,0.354745,57,29,17.6,2,10.0,46,29.0,29.91,10179
319,318,0.617518,57,29,17.6,0,10.0,64,18.0,29.92,0
320,319,0.880292,57,29,17.6,0,10.0,46,13.0,29.93,0
321,320,0.961877,61,31,14.6,0,10.0,37,14.0,29.92,0
322,321,0.697947,61,31,14.6,0,10.0,37,14.0,29.93,0
323,322,0.434018,61,31,14.6,0,10.0,37,10.0,29.97,0
324,323,0.170088,61,31,14.6,0,10.0,37,20.0,29.98,0
325,324,0.093842,61,31,14.6,1,10.0,37,20.0,29.96,0
326,325,0.357771,61,31,14.6,0,10.0,37,21.0,29.95,0
327,326,0.621701,61,31,14.6,0,10.0,42,10.0,30.00,0
328,327,0.885630,61,31,14.6,0,10.0,37,9.0,30.04,0
329,328,0.964706,63,32,13.4,0,10.0,39,15.0,30.09,0
330,329,0.700000,63,32,13.4,0,10.0,41,13.0,30.10,0
331,330,0.435294,63,32,13.4,0,10.0,37,9.0,30.15,0
332,331,0.170588,63,32,13.4,0,10.0,37,20.0,30.17,0
333,332,0.094118,63,32,13.4,0,10.0,37,14.0,30.15,0
334,333,0.358824,63,32,13.4,0,10.0,37,17.0,30.13,10727
335,334,0.623529,63,32,13.4,0,10.0,46,11.0,30.16,0
336,335,0.888235,63,32,13.4,1,10.0,37,7.0,30.19,0
337,336,0.968981,64,28,6.4,1,10.0,37,0.0,30.21,0
338,337,0.703102,64,28,6.4,0,10.0,49,5.0,30.22,0
339,338,0.437223,64,28,6.4,0,10.0,49,0.0,30.26,3687
340,339,0.171344,64,28,6.4,0,10.0,37,0.0,30.27,23961
341,340,0.094535,64,28,6.4,0,10.0,37,5.0,30.22,27438
342,341,0.360414,64,28,6.4,0,10.0,37,18.0,30.19,10116
343,342,0.626292,64,28,6.4,0,10.0,37,13.0,30.20,0
344,343,0.892171,64,28,6.4,0,10.0,62,7.0,30.20,0
345,344,0.971852,65,29,4.9,0,10.0,75,0.0,30.18,0
346,345,0.705185,65,29,4.9,0,10.0,61,3.0,30.16,0
347,346,0.438519,65,29,4.9,0,10.0,75,0.0,30.18,3473
348,347,0.171852,65,29,4.9,0,10.0,63,5.0,30.18,22832
349,348,0.094815,65,29,4.9,0,10.0,37,0.0,30.10,26285
350,349,0.361481,65,29,4.9,1,10.0,37,14.0,30.05,9756
351,350,0.628148,65,29,4.9,0,10.0,40,14.0,30.03,0
352,351,0.894815,65,29,4.9,0,10.0,72,9.0,30.04,0
353,352,0.974702,68,29,6.4,0,10.0,75,7.0,30.04,0
354,353,0.706845,68,29,6.4,0,10.0,66,3.0,30.04,0
355,354,0.438988,68,29,6.4,0,10.0,80,3.0,30.06,3359
356,355,0.171131,68,29,6.4,0,10.0,65,6.0,30.08,7478
357,356,0.096726,68,29,6.4,1,10.0,40,0.0,30.03,21210
358,357,0.364583,68,29,6.4,1,10.0,37,18.0,30.00,9209
359,358,0.632440,68,29,6.4,1,10.0,58,11.0,30.01,0
360,359,0.900298,68,29,6.4,0,10.0,70,7.0,30.03,0
361,360,0.977612,69,29,4.1,0,10.0,67,3.0,30.03,0
362,361,0.708955,69,29,4.1,0,10.0,64,3.0,30.03,0
363,362,0.440299,69,29,4.1,1,10.0,72,0.0,30.06,3225
364,363,0.171642,69,29,4.1,0,10.0,70,3.0,30.08,21798
365,364,0.097015,69,29,4.1,0,10.0,54,0.0,30.03,15159
366,365,0.365672,69,29,4.1,0,10.0,37,15.0,30.00,9169
367,366,0.634328,69,29,4.1,0,10.0,37,14.0,30.01,0
368,367,0.902985,69,29,4.1,0,10.0,42,0.0,30.03,0
369,368,0.980539,70,31,4.4,0,10.0,52,0.0,30.03,0
370,369,0.711078,70,31,4.4,1,10.0,69,0.0,30.03,0
371,370,0.441617,70,31,4.4,2,10.0,81,0.0,30.05,2718
372,371,0.172156,70,31,4.4,3,10.0,66,3.0,30.06,20460
373,372,0.097305,70,31,4.4,1,10.0,61,5.0,30.00,24427
374,373,0.366766,70,31,4.4,1,10.0,37,11.0,29.96,8399
375,374,0.636228,70,31,4.4,0,10.0,37,9.0,29.97,0
376,375,0.905689,70,31,4.4,0,10.0,48,3.0,29.99,0
377,376,0.984962,59,29,10.3,1,10.0,62,10.0,29.99,0
378,377,0.714286,59,29,10.3,2,10.0,75,5.0,30.00,0
379,378,0.443609,59,29,10.3,2,10.0,90,10.0,30.02,542
380,379,0.172932,59,29,10.3,2,10.0,68,6.0,30.07,13884
381,380,0.097744,59,29,10.3,2,10.0,59,13.0,30.02,25929
382,381,0.368421,59,29,10.3,2,10.0,70,17.0,30.01,9282
383,382,0.639098,59,29,10.3,2,10.0,83,11.0,30.03,0
384,383,0.909774,59,29,10.3,2,10.0,83,8.0,30.06,0
385,384,0.986446,56,27,11.5,3,10.0,83,0.0,30.05,0
386,385,0.715361,56,27,11.5,4,10.0,83,7.0,30.05,0
387,386,0.444277,56,27,11.5,4,10.0,83,3.0,30.08,385
388,387,0.173193,56,27,11.5,2,10.0,72,8.0,30.10,17121
389,388,0.097892,56,27,11.5,2,10.0,72,21.0,30.05,25347
390,389,0.368976,56,27,11.5,3,10.0,83,18.0,30.05,7136
391,390,0.640060,56,27,11.5,4,10.0,86,15.0,30.08,0
